symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-01-06 00:00:00+00:00,299.8,299.96,292.75,293.79,29644644,74.0708853291,74.1104161552,72.3290583059,72.5860086753,118578576,0.0,1.0
AAPL,2020-01-07 00:00:00+00:00,298.39,300.9,297.48,299.84,27877655,73.7225199245,74.3426597583,73.4976883513,74.0807680356,111510620,0.0,1.0
AAPL,2020-01-08 00:00:00+00:00,303.19,304.44,297.16,297.16,33090946,74.9084447063,75.2172792849,73.4186266991,73.4186266991,132363784,0.0,1.0
AAPL,2020-01-09 00:00:00+00:00,309.63,310.43,306.2,307.24,42621542,76.4995604552,76.6972145855,75.6521183715,75.9090687409,170486168,0.0,1.0
AAPL,2020-01-10 00:00:00+00:00,310.33,312.67,308.25,310.6,35217272,76.6725078192,77.2506461503,76.1586070804,76.7392160882,140869088,0.0,1.0
AAPL,2020-01-13 00:00:00+00:00,316.96,317.07,311.15,311.64,30028742,78.310566424,78.3377438669,76.8751033027,76.9961664575,120114968,0.0,1.0
AAPL,2020-01-14 00:00:00+00:00,312.68,317.57,312.17,316.7,40653457,77.2531168269,78.4612776984,77.1271123189,78.2463288317,162613828,0.0,1.0
AAPL,2020-01-15 00:00:00+00:00,311.34,315.5,309.55,311.85,30480882,76.9220461587,77.9498476362,76.4797950421,77.0480506667,121923528,0.0,1.0
AAPL,2020-01-16 00:00:00+00:00,315.24,315.7,312.09,313.59,27207254,77.8856100439,77.9992611688,77.1073469058,77.4779484001,108829016,0.0,1.0
AAPL,2020-01-17 00:00:00+00:00,318.73,318.74,315.0,316.27,34454117,78.7478761873,78.7503468639,77.8263138048,78.1400897366,137816468,0.0,1.0
AAPL,2020-01-21 00:00:00+00:00,316.57,319.02,316.0,317.19,27235039,78.2142100355,78.8195258095,78.0733814677,78.3673919865,108940156,0.0,1.0
AAPL,2020-01-22 00:00:00+00:00,317.7,319.99,317.31,318.58,25458115,78.4933964945,79.0591814425,78.397040106,78.7108160379,101832460,0.0,1.0
AAPL,2020-01-23 00:00:00+00:00,319.23,319.56,315.65,317.92,26117993,78.8714100187,78.9529423475,77.9869077857,78.5477513804,104471972,0.0,1.0
AAPL,2020-01-24 00:00:00+00:00,318.31,323.33,317.52,320.25,36634380,78.6441077689,79.8843874365,78.4489243152,79.1234190349,146537520,0.0,1.0
AAPL,2020-01-27 00:00:00+00:00,308.95,311.77,304.88,310.06,40485005,76.3315544444,77.0282852537,75.3259890565,76.6057995502,161940020,0.0,1.0
AAPL,2020-01-28 00:00:00+00:00,317.69,318.4,312.19,312.6,40558486,78.4909258179,78.6663438586,77.1320536721,77.2333514139,162233944,0.0,1.0
AAPL,2020-01-29 00:00:00+00:00,324.34,327.85,321.38,324.45,54149928,80.133925776,81.0011332727,79.4026054939,80.1611032189,216599712,0.0,1.0
